"Account Settings",Kontoeinstellungen
"Allow customers to create return shipment labels","Kunden erlauben, Rücksendeetiketten für Bestellungen zu erstellen"
Country,Land
"DHL Customer Number (EKP)","DHL Kundennummer (EKP)"
"DHL Paket Returns International","DHL Paket Retoure International"
"DHL Paket Returns National","DHL Paket Retoure National"
"DHL Parcel Germany Returns","DHL Paket Retouren"
"DHL contract customers receive the access data to the DHL Business Customer Portal via <em>DHL Paket</em> sales.","DHL-Vertragskunden erhalten die Zugangsdaten zum DHL-Geschäftskundenportal durch einen <em>DHL Paket</em>-Vertriebsmitarbeiter."
"Default Item Weight",Standardgewicht
"Enable Sandbox Mode","Sandbox-Modus aktivieren"
Enabled,Aktiviert
"Enter your API user name. Lower case letters only. Please talk to your account representative to add API access to your business account.","Geben Sie Ihren API-Benutzernamen ein (keine Großbuchstaben). Bitte kontaktieren Sie Ihren DHL Ansprechpartner um API-Zugriff für Ihren Geschäftskundenaccount freizuschalten."
"Error Logging Level","Stufe der Fehlerprotokollierung"
Errors,Fehler
"General Settings","Allgemeine Einstellungen"
"Having issues configuring the extension? Contact our support desk: ","Haben Sie Probleme beim Konfigurieren der Extension? Wenden Sie sich an unser Support-Team: "
"If you did not discuss this with your account representative when you set up your account, please consult them to enable your API access.","Wenn Sie dies bei der Einrichtung Ihres Kontos nicht mit Ihrem Kundenbetreuer besprochen haben, wenden Sie sich an diesen, um Ihren API-Zugriff zu aktivieren."
"If you do not have an account or your account is with another DHL division, %1please contact DHL Parcel Germany%2 to establish or expand your relationship.","Wenn Sie kein Konto haben oder Ihr Konto bei einer anderen DHL-Abteilung ist, wenden Sie sich bitte an %1DHL Paket%2, um Ihren Vertrag zu erweitern."
"Info (All API Activities)","Info (alle API-Aktivitäten)"
"Label could not be created: %1","Versandetikett konnte nicht erstellt werden: %1"
"Log Level",Protokollierungsstufe
Logging,Protokollierung
"Only return shipments are supported.","Es werden nur Versandaufträge für Retouren unterstützt."
"PDF Label","PDF-Label"
Participation,Teilnahme
"Participation Numbers",Teilnahmenummern
"Password (Signature)","Passwort (Signature)"
"Please select items to return.","Bitte wählen Sie Retouren-Artikel aus."
"Please specify a return shipment sender address.","Bitte geben Sie eine Absenderadresse für die Retoure an."
"Post & DHL and Magento","Versenden mit Post & DHL"
Procedure,Verfahren
"QR Code","QR-Code"
"Receiver ID",Retourenempfänger-ID
"Record communication with the DHL web services.","Kommunikation mit den DHL-Webservices aufzeichnen."
"Return Receiver IDs",Retourenempfänger-IDs
"Return shipment request could not be created: %1","Der Versandauftrag für die Retoure konnte nicht erzeugt werden: %1"
"Select Procedure","Verfahren auswählen"
"Shipment item %1 is not available.","Versandartikel %1 ist nicht verfügbar."
"The DHL Parcel Germany Returns module allows to create return shipment labels for your orders directly within your Magento suite.","DHL Paket Retouren ermöglicht es Ihnen, Rücksendeetiketten für versandte Bestellungen direkt in Ihrer Magento-Instanz zu erzeugen."
"The EKP number (standardized customer and product number) is the key to using the products of Deutsche Post DHL. It is 10 digits and is allocated by DHL Sales.","Die EKP (Kundennummer) ist Ihr Schlüssel zu den Produkten von DHL. Sie umfasst 10 Zeichen und wird Ihnen von DHL zugewiesen."
"The customer integration gateway of DHL provides generic test endpoints for the calling APIs. Select this option to use the test environment.","Die DHL-Schnittstelle bietet generische Testendpunkte für die aufrufenden APIs. Wählen Sie diese Option aus, um die Testumgebung zu verwenden."
"The log level <em>Info</em> should only be set while resolving problems. It may result in very large log files.","Die Protokollierungsstufe <em>Info</em> sollte nur beim Lösen von Problemen eingestellt werden, da dies zu sehr großen Protokolldateien führen kann."
"The participation number enables invoices to be subdivided according to location, seasonal business or different conditions. The participation is 2 numerical digits from 00 to 99 or alphanumerical digits from AA to ZZ. It is allocated by DHL Sales.","Die Teilnehmernummer ermöglicht die Aufteilung der Rechnungen nach Standort, Saisongeschäft oder unterschiedlichen Konditionen. Die Teilnahme besteht aus 2 Ziffern von 00 bis 99 oder alphanumerischen Ziffern von AA bis ZZ. Sie wird vom DHL-Vertrieb vergeben."
"This value will be used as return position weight if the original shipment item has no weight configured.","Dieser Wert wird als Gewicht für einen Retouren-Artikel verwendet falls am ursprünglichen Versandartikel kein Gewicht hinterlegt ist."
"To determine valid receiver IDs for your account, log into the DHL Business Customer Portal and download the <em>Receiver Links</em> CSV file from the <em>Returns</em> section.","Um Ihre Retourenempfänger-IDs zu ermitteln, melden Sie sich im Geschäftskundenportal an und laden Sie die <em>Retourenempfängerlinks</em> CSV-Datei im <em>Retoure</em>-Bereich herunter."
"To get started:","Bevor es losgeht:"
User,Benutzer
"You must also have Magento general logging enabled.","Die allgemeine Protokollierung muss in Magento aktiviert sein, damit die modulspezifische Protokollierung funktioniert."
"You must have a valid business customer contract with DHL Paket GmbH for the products DHL Retoure Online and/or DHL Retoure International.","Für die Produkte DHL Retoure Online und/oder DHL Retoure International benötigen Sie einen gültigen Geschäftskundenvertrag mit der DHL Paket GmbH."
"You must have access to the DHL Business Customer Portal with the authorization for the function ""Returns"".","Sie benötigen Zugriff zum DHL Geschäftskundenportal mit der Berechtigung für die Funktion ""Retoure""."
dhl.support@netresearch.de,dhl.support@netresearch.de
https://www.dhl.de/en/geschaeftskunden/paket/kunde-werden/angebot-dhl-geschaeftskunden-online.html,https://www.dhl.de/de/geschaeftskunden/paket/kunde-werden/angebot-dhl-geschaeftskunden-online.html
